iter	Passed	Remaining
0	2	267
1	4	243
2	7	241
3	9	228
4	11	224
5	14	221
6	16	219
7	18	217
8	21	215
9	23	214
10	25	210
11	28	207
12	30	204
13	32	202
14	35	199
15	37	196
16	39	194
17	42	192
18	44	189
19	47	188
20	49	185
21	51	182
22	53	179
23	55	177
24	58	174
25	60	172
26	62	170
27	65	167
28	67	164
29	69	161
30	71	159
31	73	156
32	76	154
33	78	152
34	80	149
35	82	147
36	84	144
37	87	142
38	89	139
39	91	137
40	93	134
41	94	130
42	96	128
43	99	126
44	101	123
45	103	121
46	105	119
47	108	117
48	110	114
49	112	112
50	114	110
51	117	108
52	119	105
53	121	103
54	123	100
55	125	98
56	127	96
57	129	93
58	132	91
59	134	89
60	136	87
61	138	85
62	140	82
63	143	80
64	145	78
65	147	76
66	149	73
67	151	71
68	154	69
69	156	66
70	158	64
71	160	62
72	162	60
73	164	57
74	167	55
75	169	53
76	171	51
77	173	49
78	176	46
79	178	44
80	180	42
81	182	40
82	184	37
83	186	35
84	189	33
85	191	31
86	193	28
87	196	26
88	198	24
89	200	22
90	202	20
91	205	17
92	207	15
93	209	13
94	211	11
95	213	8
96	215	6
97	217	4
98	220	2
99	222	0
