iter	Passed	Remaining
0	3	3532
1	5	2872
2	7	2647
3	10	2509
4	12	2419
5	14	2355
6	16	2344
7	18	2322
8	21	2312
9	23	2294
10	25	2278
11	27	2261
12	29	2246
13	31	2237
14	34	2234
15	36	2227
16	38	2223
17	40	2223
18	42	2214
19	44	2204
20	47	2214
21	49	2215
22	52	2209
23	54	2200
24	56	2188
25	58	2184
26	60	2172
27	62	2183
28	64	2174
29	67	2167
30	69	2160
31	71	2151
32	73	2149
33	75	2141
34	77	2141
35	79	2139
36	82	2137
37	84	2130
38	86	2121
39	88	2115
40	91	2145
41	94	2144
42	96	2140
43	98	2134
44	100	2129
45	102	2130
46	105	2129
47	107	2140
48	110	2145
49	112	2141
50	115	2143
51	117	2140
52	119	2137
53	122	2143
54	124	2141
55	126	2138
56	128	2133
57	131	2128
58	133	2124
59	135	2120
60	137	2116
61	139	2114
62	142	2114
63	144	2112
64	146	2108
65	148	2104
66	151	2103
67	154	2114
68	156	2116
69	158	2109
70	161	2107
71	163	2106
72	165	2102
73	168	2104
74	170	2100
75	172	2095
76	174	2090
77	176	2085
78	178	2080
79	180	2076
80	182	2071
81	184	2069
82	185	2054
83	188	2051
84	190	2047
85	192	2042
86	194	2037
87	196	2033
88	198	2033
89	201	2034
90	203	2030
91	205	2026
92	207	2023
93	209	2018
94	211	2013
95	213	2010
96	215	2007
97	217	2003
98	219	1999
99	221	1996
100	223	1991
101	225	1987
102	227	1984
103	229	1981
104	231	1977
105	233	1972
106	235	1969
107	237	1964
108	239	1960
109	241	1956
110	244	1954
111	245	1950
112	247	1946
113	250	1943
114	252	1939
115	254	1936
116	255	1930
117	257	1926
118	259	1924
119	262	1921
120	264	1921
121	266	1917
122	268	1915
123	270	1913
124	273	1911
125	275	1911
126	277	1908
127	279	1905
128	281	1903
129	284	1902
130	286	1899
131	288	1898
132	290	1894
133	293	1893
134	295	1891
135	297	1888
136	299	1887
137	301	1884
138	304	1883
139	306	1880
140	308	1878
141	309	1871
142	311	1869
143	314	1868
144	316	1865
145	318	1863
146	321	1863
147	323	1861
148	325	1860
149	327	1858
150	329	1855
151	332	1853
152	335	1855
153	337	1853
154	339	1851
155	341	1849
156	344	1848
157	346	1847
158	349	1847
159	351	1846
160	353	1841
161	355	1838
162	357	1835
163	359	1833
164	361	1829
165	364	1830
166	366	1827
167	368	1824
168	370	1821
169	372	1817
170	374	1814
171	376	1810
172	378	1807
173	380	1805
174	382	1803
175	384	1802
176	387	1802
177	390	1801
178	392	1800
179	394	1798
180	396	1796
181	399	1793
182	401	1790
183	403	1787
184	404	1783
185	406	1780
186	409	1779
187	411	1776
188	413	1773
189	415	1770
190	417	1768
191	419	1765
192	421	1764
193	424	1762
194	426	1759
195	428	1756
196	430	1753
197	432	1750
198	434	1747
199	436	1745
200	438	1743
201	440	1740
202	442	1737
203	444	1734
204	446	1732
205	448	1728
206	450	1726
207	453	1725
208	455	1723
209	457	1720
210	459	1717
211	461	1714
212	463	1711
213	464	1707
214	467	1705
215	469	1704
216	471	1700
217	473	1697
218	474	1693
219	476	1690
220	478	1687
221	481	1685
222	483	1683
223	485	1681
224	487	1678
225	489	1676
226	491	1673
227	493	1671
